Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,136.53707,-97.4,180.0,top
C2,10uF,C_0402_1005Metric,136.53707,-98.35,180.0,top
C3,0.1uF,C_0402_1005Metric,148.149371,-82.896122,180.0,top
C4,0.1uF,C_0402_1005Metric,142.223087,-90.35,0.0,top
J1,Ext Ant,IPEX-SMD_4P-L1.7-W1.7-LS2.0-L-4,136.437439,-100.4,180.0,top
R2,2.2K,R_0402_1005Metric,148.95,-96.5,-135.0,top
R3,2.2K,R_0402_1005Metric,148.3,-95.825,-135.0,top
R4,10K,R_0402_1005Metric,149.875,-86.639091,90.0,top
R5,10K,R_0402_1005Metric,146.29,-85.17,90.0,top
U1,RF-BM-BG22C3,RF-BM-BG22C3,142.093238,-95.705,180.0,top
U2,TCA9555RTWR,WQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm,141.993087,-87.15,180.0,top
U3,DRV2603RUNT,QFN-10_L2.0-W2.0-P0.50-TL,148.146208,-84.792852,90.0,top
